PC-Miler Practical Mileage,Spot Avg Linehaul Rate,Spot Low Linehaul Rate,Spot High Linehaul Rate,Spot Fuel Surcharge,Spot Time Frame,Spot Origin Geo Expansion,Spot Destination Geo Expansion,Spot # of Companies,Spot # of Reports,Spot Your Own Avg Linehaul Rate,Spot Your Own # of Reports,Spot Error,Orig City,Orig State,Orig Postal Code,Dest City,Dest State,Dest Postal Code,Truck Type,ID (or Optional field),Note: Omit the header line when submitting your request
716,1.02,0.95,1.09,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,11,,,,ATLANTA,GA,,CHICAGO,IL,,V,,
784,1.30,1.00,1.64,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,29,,,,ATLANTA,GA,,DALLAS,TX,,V,,
2173,1.06,0.86,1.14,0.31,15,10-3-Digit Zip,20-Mkt area,14,33,,,,ATLANTA,GA,,LOS ANGELES,CA,,V,,
758,1.54,1.36,1.73,0.31,15,10-3-Digit Zip,20-Mkt area,13,27,,,,ATLANTA,GA,,PHILADELPHIA,PA,,V,,
2670,1.38,1.30,1.66,0.31,15,20-Mkt area,20-Mkt area,19,62,,,,ATLANTA,GA,,SEATTLE,WA,,V,,
792,1.35,1.21,1.46,0.31,15,10-3-Digit Zip,10-3-Digit Zip,10,46,,,,ATLANTA,GA,,HOUSTON,TX,,V,,
1127,1.06,0.99,1.15,0.31,15,20-Mkt area,20-Mkt area,34,88,,,,ATLANTA,GA,,MINNEAPOLIS,MN,,V,,
379,1.37,1.06,1.58,0.31,15,10-3-Digit Zip,10-3-Digit Zip,19,56,,,,ATLANTA,GA,,MEMPHIS,TN,,V,,
567,1.21,0.97,1.38,0.31,15,10-3-Digit Zip,20-Mkt area,14,30,,,,ATLANTA,GA,,COLUMBUS,OH,,V,,
420,1.34,1.12,1.59,0.31,15,10-3-Digit Zip,10-3-Digit Zip,10,26,,,,ATLANTA,GA,,LOUISVILLE,KY,,V,,
245,2.12,1.94,2.24,0.31,15,10-3-Digit Zip,10-3-Digit Zip,21,60,,,,ATLANTA,GA,,CHARLOTTE,NC,,V,,
722,1.16,1.02,1.25,0.31,15,10-3-Digit Zip,20-Mkt area,9,34,,,,ATLANTA,GA,,DETROIT,MI,,V,,
552,1.15,1.04,1.42,0.31,15,10-3-Digit Zip,20-Mkt area,4,11,,,,ATLANTA,GA,,ST LOUIS,MO,,V,,
661,1.83,1.78,2.50,0.31,15,10-3-Digit Zip,20-Mkt area,9,28,,,,ATLANTA,GA,,BALTIMORE,MD,,V,,
815,0.90,0.84,0.98,0.31,15,10-3-Digit Zip,20-Mkt area,3,11,,,,ATLANTA,GA,,MILWAUKEE,WI,,V,,
345,2.30,2.11,2.59,0.31,15,10-3-Digit Zip,10-3-Digit Zip,15,89,,,,ATLANTA,GA,,JACKSONVILLE,FL,,V,,
467,1.38,1.14,1.51,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,17,,,,ATLANTA,GA,,NEW ORLEANS,LA,,V,,
716,1.86,1.78,1.93,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,16,,,,CHICAGO,IL,,ATLANTA,GA,,V,,
928,1.75,1.52,2.07,0.31,15,10-3-Digit Zip,10-3-Digit Zip,12,28,,,,CHICAGO,IL,,DALLAS,TX,,V,,
2025,1.23,1.14,1.39,0.31,15,10-3-Digit Zip,20-Mkt area,22,57,,,,CHICAGO,IL,,LOS ANGELES,CA,,V,,
758,1.90,1.78,2.09,0.31,15,10-3-Digit Zip,20-Mkt area,10,17,,,,CHICAGO,IL,,PHILADELPHIA,PA,,V,,
2064,1.43,1.34,1.58,0.31,15,10-3-Digit Zip,20-Mkt area,7,12,,,,CHICAGO,IL,,SEATTLE,WA,,V,,
1085,1.51,1.35,2.08,0.31,15,10-3-Digit Zip,10-3-Digit Zip,13,28,,,,CHICAGO,IL,,HOUSTON,TX,,V,,
409,1.68,1.55,1.89,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,25,,,,CHICAGO,IL,,MINNEAPOLIS,MN,,V,,
532,1.47,1.38,1.58,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,29,,,,CHICAGO,IL,,MEMPHIS,TN,,V,,
352,2.27,1.92,2.43,0.31,15,10-3-Digit Zip,20-Mkt area,20,47,,,,CHICAGO,IL,,COLUMBUS,OH,,V,,
297,2.07,1.85,2.13,0.31,15,10-3-Digit Zip,10-3-Digit Zip,6,15,,,,CHICAGO,IL,,LOUISVILLE,KY,,V,,
770,1.68,1.54,1.77,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,14,,,,CHICAGO,IL,,CHARLOTTE,NC,,V,,
281,2.73,2.57,3.01,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,16,,,,CHICAGO,IL,,DETROIT,MI,,V,,
294,2.24,2.11,2.38,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,11,,,,CHICAGO,IL,,ST LOUIS,MO,,V,,
700,2.22,1.99,2.47,0.31,15,10-3-Digit Zip,20-Mkt area,11,38,,,,CHICAGO,IL,,BALTIMORE,MD,,V,,
94,4.37,3.97,4.57,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,17,,,,CHICAGO,IL,,MILWAUKEE,WI,,V,,
1065,1.69,1.55,1.82,0.31,15,20-Mkt area,20-Mkt area,27,59,,,,CHICAGO,IL,,JACKSONVILLE,FL,,V,,
923,1.78,1.60,2.05,0.31,15,20-Mkt area,20-Mkt area,25,64,,,,CHICAGO,IL,,NEW ORLEANS,LA,,V,,
784,1.11,0.96,1.22,0.31,15,10-3-Digit Zip,10-3-Digit Zip,6,20,,,,DALLAS,TX,,ATLANTA,GA,,V,,
928,0.87,0.79,0.91,0.31,15,10-3-Digit Zip,20-Mkt area,23,49,,,,DALLAS,TX,,CHICAGO,IL,,V,,
1440,0.90,0.83,0.97,0.31,15,10-3-Digit Zip,20-Mkt area,20,112,,,,DALLAS,TX,,LOS ANGELES,CA,,V,,
1463,1.23,1.00,1.30,0.31,15,10-3-Digit Zip,20-Mkt area,9,21,,,,DALLAS,TX,,PHILADELPHIA,PA,,V,,
2200,1.47,1.33,1.82,0.31,15,10-3-Digit Zip,20-Mkt area,9,32,,,,DALLAS,TX,,SEATTLE,WA,,V,,
241,1.89,1.69,2.18,0.31,15,10-3-Digit Zip,10-3-Digit Zip,51,240,,,,DALLAS,TX,,HOUSTON,TX,,V,,
940,1.09,0.96,1.20,0.31,15,20-Mkt area,20-Mkt area,41,88,,,,DALLAS,TX,,MINNEAPOLIS,MN,,V,,
452,0.96,0.86,1.02,0.31,15,10-3-Digit Zip,10-3-Digit Zip,9,16,,,,DALLAS,TX,,MEMPHIS,TN,,V,,
1040,1.09,1.01,1.27,0.31,15,10-3-Digit Zip,20-Mkt area,11,30,,,,DALLAS,TX,,COLUMBUS,OH,,V,,
836,1.07,0.94,1.18,0.31,15,10-3-Digit Zip,10-3-Digit Zip,4,68,,,,DALLAS,TX,,LOUISVILLE,KY,,V,,
1031,1.12,1.03,1.21,0.31,15,10-3-Digit Zip,20-Mkt area,14,30,,,,DALLAS,TX,,CHARLOTTE,NC,,V,,
1189,1.02,0.90,1.14,0.31,15,10-3-Digit Zip,20-Mkt area,13,40,,,,DALLAS,TX,,DETROIT,MI,,V,,
629,0.92,0.87,0.97,0.31,15,10-3-Digit Zip,20-Mkt area,8,18,,,,DALLAS,TX,,ST LOUIS,MO,,V,,
1366,1.39,1.29,1.45,0.31,15,10-3-Digit Zip,20-Mkt area,7,23,,,,DALLAS,TX,,BALTIMORE,MD,,V,,
1006,0.96,0.79,1.04,0.31,15,20-Mkt area,20-Mkt area,23,67,,,,DALLAS,TX,,MILWAUKEE,WI,,V,,
997,1.49,1.30,1.69,0.31,15,20-Mkt area,20-Mkt area,33,77,,,,DALLAS,TX,,JACKSONVILLE,FL,,V,,
506,1.25,1.13,1.41,0.31,15,10-3-Digit Zip,10-3-Digit Zip,7,11,,,,DALLAS,TX,,NEW ORLEANS,LA,,V,,
2173,1.21,1.04,1.41,0.31,15,10-3-Digit Zip,20-Mkt area,12,27,,,,LOS ANGELES,CA,,ATLANTA,GA,,V,,
2025,1.06,0.90,1.21,0.31,15,10-3-Digit Zip,20-Mkt area,18,33,,,,LOS ANGELES,CA,,CHICAGO,IL,,V,,
1440,1.40,1.09,1.93,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,13,,,,LOS ANGELES,CA,,DALLAS,TX,,V,,
2724,1.24,1.10,1.36,0.31,15,20-Mkt area,20-Mkt area,23,81,,,,LOS ANGELES,CA,,PHILADELPHIA,PA,,V,,
1135,1.84,1.69,1.87,0.31,15,10-3-Digit Zip,20-Mkt area,17,60,,,,LOS ANGELES,CA,,SEATTLE,WA,,V,,
1545,1.17,1.02,1.31,0.31,15,10-3-Digit Zip,10-3-Digit Zip,8,22,,,,LOS ANGELES,CA,,HOUSTON,TX,,V,,
1926,1.28,1.09,1.39,0.31,15,20-Mkt area,20-Mkt area,22,70,,,,LOS ANGELES,CA,,MINNEAPOLIS,MN,,V,,
1793,1.28,1.13,1.41,0.31,15,20-Mkt area,20-Mkt area,21,84,,,,LOS ANGELES,CA,,MEMPHIS,TN,,V,,
2250,1.28,1.15,1.53,0.31,15,20-Mkt area,20-Mkt area,32,309,,,,LOS ANGELES,CA,,COLUMBUS,OH,,V,,
2096,1.05,0.89,1.26,0.31,15,20-Mkt area,20-Mkt area,24,62,,,,LOS ANGELES,CA,,LOUISVILLE,KY,,V,,
2412,1.13,1.03,1.25,0.31,15,20-Mkt area,20-Mkt area,26,66,,,,LOS ANGELES,CA,,CHARLOTTE,NC,,V,,
2280,1.09,0.96,1.21,0.31,15,20-Mkt area,20-Mkt area,23,112,,,,LOS ANGELES,CA,,DETROIT,MI,,V,,
1827,1.25,1.08,1.46,0.31,15,20-Mkt area,20-Mkt area,19,71,,,,LOS ANGELES,CA,,ST LOUIS,MO,,V,,
2656,1.19,0.99,1.46,0.31,15,20-Mkt area,20-Mkt area,20,41,,,,LOS ANGELES,CA,,BALTIMORE,MD,,V,,
2055,0.96,0.82,1.08,0.31,15,20-Mkt area,20-Mkt area,14,27,,,,LOS ANGELES,CA,,MILWAUKEE,WI,,V,,
2414,1.19,1.04,1.30,0.31,15,20-Mkt area,20-Mkt area,13,24,,,,LOS ANGELES,CA,,JACKSONVILLE,FL,,V,,
1891,1.26,1.11,1.39,0.31,15,20-Mkt area,20-Mkt area,10,19,,,,LOS ANGELES,CA,,NEW ORLEANS,LA,,V,,
758,1.27,1.19,1.45,0.31,15,10-3-Digit Zip,10-3-Digit Zip,5,19,,,,PHILADELPHIA,PA,,ATLANTA,GA,,V,,
758,1.13,0.99,1.37,0.31,15,10-3-Digit Zip,20-Mkt area,11,31,,,,PHILADELPHIA,PA,,CHICAGO,IL,,V,,
1463,1.12,1.03,1.27,0.31,15,20-Mkt area,20-Mkt area,39,146,,,,PHILADELPHIA,PA,,DALLAS,TX,,V,,
2724,0.86,0.79,0.90,0.31,15,20-Mkt area,20-Mkt area,28,89,,,,PHILADELPHIA,PA,,LOS ANGELES,CA,,V,,
2827,1.43,1.21,1.58,0.31,15,20-Mkt area,20-Mkt area,7,9,,,,PHILADELPHIA,PA,,SEATTLE,WA,,V,,
1543,1.10,0.99,1.20,0.31,15,20-Mkt area,20-Mkt area,14,37,,,,PHILADELPHIA,PA,,HOUSTON,TX,,V,,
1172,1.06,0.98,1.15,0.31,15,20-Mkt area,20-Mkt area,19,53,,,,PHILADELPHIA,PA,,MINNEAPOLIS,MN,,V,,
1008,0.97,0.86,1.11,0.31,15,20-Mkt area,20-Mkt area,22,43,,,,PHILADELPHIA,PA,,MEMPHIS,TN,,V,,
469,1.09,0.90,1.27,0.31,15,10-3-Digit Zip,20-Mkt area,6,14,,,,PHILADELPHIA,PA,,COLUMBUS,OH,,V,,
672,1.14,0.94,1.25,0.31,15,20-Mkt area,20-Mkt area,23,67,,,,PHILADELPHIA,PA,,LOUISVILLE,KY,,V,,
519,1.15,1.04,1.24,0.31,15,10-3-Digit Zip,20-Mkt area,10,13,,,,PHILADELPHIA,PA,,CHARLOTTE,NC,,V,,
584,1.15,1.10,1.54,0.31,15,10-3-Digit Zip,20-Mkt area,8,60,,,,PHILADELPHIA,PA,,DETROIT,MI,,V,,
914,1.10,1.04,1.19,0.31,15,20-Mkt area,20-Mkt area,19,34,,,,PHILADELPHIA,PA,,ST LOUIS,MO,,V,,
97,4.87,4.37,5.27,0.31,15,20-Mkt area,20-Mkt area,43,130,,,,PHILADELPHIA,PA,,BALTIMORE,MD,,V,,
851,1.05,0.94,1.17,0.31,15,20-Mkt area,20-Mkt area,31,69,,,,PHILADELPHIA,PA,,MILWAUKEE,WI,,V,,
853,1.60,1.44,1.69,0.31,15,20-Mkt area,20-Mkt area,14,28,,,,PHILADELPHIA,PA,,JACKSONVILLE,FL,,V,,
1219,1.23,1.11,1.43,0.31,15,20-Mkt area,20-Mkt area,11,19,,,,PHILADELPHIA,PA,,NEW ORLEANS,LA,,V,,
2670,1.04,0.87,1.21,0.31,15,20-Mkt area,20-Mkt area,12,18,,,,SEATTLE,WA,,ATLANTA,GA,,V,,
2064,0.92,0.91,0.93,0.31,15,10-3-Digit Zip,20-Mkt area,5,33,,,,SEATTLE,WA,,CHICAGO,IL,,V,,
2200,1.19,1.03,1.40,0.31,15,20-Mkt area,20-Mkt area,22,61,,,,SEATTLE,WA,,DALLAS,TX,,V,,
1135,0.87,0.81,1.02,0.31,15,10-3-Digit Zip,20-Mkt area,10,40,,,,SEATTLE,WA,,LOS ANGELES,CA,,V,,
2827,1.20,1.14,1.26,0.31,15,20-Mkt area,30-X-Mkt area,9,20,,,,SEATTLE,WA,,PHILADELPHIA,PA,,V,,
2440,1.11,1.02,1.18,0.31,15,20-Mkt area,20-Mkt area,4,10,,,,SEATTLE,WA,,HOUSTON,TX,,V,,
1656,1.15,1.00,1.19,0.31,15,20-Mkt area,20-Mkt area,8,21,,,,SEATTLE,WA,,MINNEAPOLIS,MN,,V,,
2385,1.25,1.08,1.26,0.31,15,20-Mkt area,20-Mkt area,5,16,,,,SEATTLE,WA,,MEMPHIS,TN,,V,,
2419,1.21,1.09,1.42,0.31,15,20-Mkt area,20-Mkt area,7,26,,,,SEATTLE,WA,,COLUMBUS,OH,,V,,
2363,1.31,1.22,1.55,0.31,15,20-Mkt area,20-Mkt area,3,20,,,,SEATTLE,WA,,LOUISVILLE,KY,,V,,
2836,1.11,0.97,1.20,0.31,15,20-Mkt area,20-Mkt area,3,9,,,,SEATTLE,WA,,CHARLOTTE,NC,,V,,
2350,1.02,0.83,1.12,0.31,30,20-Mkt area,20-Mkt area,11,27,,,,SEATTLE,WA,,DETROIT,MI,,V,,
2049,1.14,1.11,1.21,0.31,15,20-Mkt area,20-Mkt area,6,14,,,,SEATTLE,WA,,ST LOUIS,MO,,V,,
2767,1.20,1.19,1.28,0.31,30,20-Mkt area,20-Mkt area,5,10,,,,SEATTLE,WA,,BALTIMORE,MD,,V,,
1991,0.92,0.76,1.04,0.31,15,20-Mkt area,30-X-Mkt area,8,18,,,,SEATTLE,WA,,MILWAUKEE,WI,,V,,
3020,1.10,0.99,1.13,0.31,30,20-Mkt area,20-Mkt area,5,11,,,,SEATTLE,WA,,JACKSONVILLE,FL,,V,,
2703,1.14,1.02,1.23,0.31,15,30-X-Mkt area,40-Region,53,164,,,,SEATTLE,WA,,NEW ORLEANS,LA,,V,,
792,1.43,1.17,1.64,0.31,15,10-3-Digit Zip,10-3-Digit Zip,21,36,,,,HOUSTON,TX,,ATLANTA,GA,,V,,
1085,1.14,0.98,1.23,0.31,15,10-3-Digit Zip,20-Mkt area,37,92,,,,HOUSTON,TX,,CHICAGO,IL,,V,,
241,1.80,1.57,2.12,0.31,15,10-3-Digit Zip,10-3-Digit Zip,38,208,,,,HOUSTON,TX,,DALLAS,TX,,V,,
1545,1.06,0.94,1.17,0.31,15,10-3-Digit Zip,20-Mkt area,35,109,,,,HOUSTON,TX,,LOS ANGELES,CA,,V,,
1543,1.57,1.32,1.80,0.31,15,10-3-Digit Zip,20-Mkt area,13,26,,,,HOUSTON,TX,,PHILADELPHIA,PA,,V,,
