Origin City,Origin State,Origin Zip Code,Destination City,Destination State,Destination Zip Code,Truck Type,ID (or Optional field),Note: Omit the header line when submitting your request
ATLANTA,GA,,CHICAGO,IL,,VAN,,
ATLANTA,GA,,DALLAS,TX,,VAN,,
ATLANTA,GA,,LOS ANGELES,CA,,VAN,,
ATLANTA,GA,,PHILADELPHIA,PA,,VAN,,
ATLANTA,GA,,SEATTLE,WA,,VAN,,
ATLANTA,GA,,HOUSTON,TX,,VAN,,
ATLANTA,GA,,MINNEAPOLIS,MN,,VAN,,
ATLANTA,GA,,MEMPHIS,TN,,VAN,,
ATLANTA,GA,,COLUMBUS,OH,,VAN,,
ATLANTA,GA,,LOUISVILLE,KY,,VAN,,
ATLANTA,GA,,CHARLOTTE,NC,,VAN,,
ATLANTA,GA,,DETROIT,MI,,VAN,,
ATLANTA,GA,,ST LOUIS,MO,,VAN,,
ATLANTA,GA,,BALTIMORE,MD,,VAN,,
ATLANTA,GA,,MILWAUKEE,WI,,VAN,,
ATLANTA,GA,,JACKSONVILLE,FL,,VAN,,
ATLANTA,GA,,NEW ORLEANS,LA,,VAN,,
CHICAGO,IL,,ATLANTA,GA,,VAN,,
CHICAGO,IL,,DALLAS,TX,,VAN,,
CHICAGO,IL,,LOS ANGELES,CA,,VAN,,
CHICAGO,IL,,PHILADELPHIA,PA,,VAN,,
CHICAGO,IL,,SEATTLE,WA,,VAN,,
CHICAGO,IL,,HOUSTON,TX,,VAN,,
CHICAGO,IL,,MINNEAPOLIS,MN,,VAN,,
CHICAGO,IL,,MEMPHIS,TN,,VAN,,
CHICAGO,IL,,COLUMBUS,OH,,VAN,,
CHICAGO,IL,,LOUISVILLE,KY,,VAN,,
CHICAGO,IL,,CHARLOTTE,NC,,VAN,,
CHICAGO,IL,,DETROIT,MI,,VAN,,
CHICAGO,IL,,ST LOUIS,MO,,VAN,,
CHICAGO,IL,,BALTIMORE,MD,,VAN,,
CHICAGO,IL,,MILWAUKEE,WI,,VAN,,
CHICAGO,IL,,JACKSONVILLE,FL,,VAN,,
CHICAGO,IL,,NEW ORLEANS,LA,,VAN,,
DALLAS,TX,,ATLANTA,GA,,VAN,,
DALLAS,TX,,CHICAGO,IL,,VAN,,
DALLAS,TX,,LOS ANGELES,CA,,VAN,,
DALLAS,TX,,PHILADELPHIA,PA,,VAN,,
DALLAS,TX,,SEATTLE,WA,,VAN,,
DALLAS,TX,,HOUSTON,TX,,VAN,,
DALLAS,TX,,MINNEAPOLIS,MN,,VAN,,
DALLAS,TX,,MEMPHIS,TN,,VAN,,
